jurisdiction,year,state_population,violent_crime_total,crime_per_pop
TEXAS,2011,25631778.0,104734.0,0.409
UTAH,2011,2814347.0,5547.0,0.197
VERMONT,2011,626592.0,925.0,0.148
VIRGINIA,2011,8104384.0,16014.0,0.198
WASHINGTON,2011,6823267.0,20152.0,0.295
WEST VIRGINIA,2011,1854908.0,5497.0,0.296
WISCONSIN,2011,5709843.0,14268.0,0.25
WYOMING,2011,567356.0,1245.0,0.219
ALABAMA,2012,4817528.0,21693.0,0.45
ALASKA,2012,730307.0,4412.0,0.604
ARIZONA,2012,6551149.0,28077.0,0.429
ARKANSAS,2012,2949828.0,13851.0,0.47
CALIFORNIA,2012,37999878.0,160944.0,0.424
COLORADO,2012,5189458.0,15951.0,0.307
CONNECTICUT,2012,3591765.0,10183.0,0.284
DELAWARE,2012,917053.0,5048.0,0.55
FLORIDA,2012,19320749.0,94087.0,0.487
GEORGIA,2012,9915646.0,37675.0,0.38
HAWAII,2012,1390090.0,3378.0,0.243
IDAHO,2012,1595590.0,3348.0,0.21
ILLINOIS,2012,12868192.0,53556.0,0.416
INDIANA,2012,6537782.0,22544.0,0.345
IOWA,2012,3075039.0,8167.0,0.266
KANSAS,2012,2885398.0,10292.0,0.357
KENTUCKY,2012,4379730.0,9852.0,0.225
LOUISIANA,2012,4602134.0,22839.0,0.496
MAINE,2012,1328501.0,1626.0,0.122
MARYLAND,2012,5884868.0,28086.0,0.477
MASSACHUSETTS,2012,6645303.0,27047.0,0.407
MICHIGAN,2012,9882519.0,44962.0,0.455
MINNESOTA,2012,5379646.0,12419.0,0.231
MISSISSIPPI,2012,2986450.0,7769.0,0.26
MISSOURI,2012,6024522.0,27189.0,0.451
MONTANA,2012,1005494.0,2803.0,0.279
NEBRASKA,2012,1855350.0,4802.0,0.259
NEVADA,2012,2754354.0,16763.0,0.609
NEW HAMPSHIRE,2012,1321617.0,2841.0,0.215
NEW JERSEY,2012,8867749.0,25727.0,0.29
NEW MEXICO,2012,2083540.0,11660.0,0.56
NEW YORK,2012,19576125.0,79535.0,0.406
NORTH CAROLINA,2012,9748364.0,34464.0,0.354
NORTH DAKOTA,2012,701345.0,1723.0,0.246
OHIO,2012,11553031.0,34827.0,0.301
OKLAHOMA,2012,3815780.0,18102.0,0.474
OREGON,2012,3899801.0,9638.0,0.247
PENNSYLVANIA,2012,12764475.0,45384.0,0.356
RHODE ISLAND,2012,1050304.0,2657.0,0.253
SOUTH CAROLINA,2012,4723417.0,26474.0,0.56
SOUTH DAKOTA,2012,834047.0,2701.0,0.324
TENNESSEE,2012,6454914.0,41213.0,0.638
TEXAS,2012,26060796.0,106475.0,0.409
UTAH,2012,2854871.0,5939.0,0.208
VERMONT,2012,625953.0,891.0,0.142
VIRGINIA,2012,8186628.0,15676.0,0.191
WASHINGTON,2012,6895318.0,20553.0,0.298
WEST VIRGINIA,2012,1856680.0,5943.0,0.32
WISCONSIN,2012,5724554.0,16254.0,0.284
WYOMING,2012,576626.0,1161.0,0.201
ALABAMA,2013,4833996.0,20834.0,0.431
ALASKA,2013,737259.0,4709.0,0.639
ARIZONA,2013,6634997.0,27576.0,0.416
ARKANSAS,2013,2958765.0,13705.0,0.463
CALIFORNIA,2013,38431393.0,154739.0,0.403
COLORADO,2013,5272086.0,16099.0,0.305
CONNECTICUT,2013,3599341.0,9439.0,0.262
DELAWARE,2013,925240.0,4633.0,0.501
FLORIDA,2013,19600311.0,91993.0,0.469
GEORGIA,2013,9994759.0,37519.0,0.375
HAWAII,2013,1408987.0,3585.0,0.254
IDAHO,2013,1612843.0,3471.0,0.215
ILLINOIS,2013,12890552.0,51956.0,0.403
INDIANA,2013,6570713.0,23627.0,0.36
IOWA,2013,3092341.0,8443.0,0.273
KANSAS,2013,2895801.0,9928.0,0.343
KENTUCKY,2013,4399583.0,9280.0,0.211
LOUISIANA,2013,4629284.0,24127.0,0.521
MAINE,2013,1328702.0,1761.0,0.133
MARYLAND,2013,5938737.0,28235.0,0.475
MASSACHUSETTS,2013,6708874.0,27264.0,0.406
MICHIGAN,2013,9898193.0,44757.0,0.452
MINNESOTA,2013,5422060.0,12710.0,0.234
MISSISSIPPI,2013,2992206.0,8303.0,0.277
MISSOURI,2013,6044917.0,26216.0,0.434
MONTANA,2013,1014864.0,2924.0,0.288
NEBRASKA,2013,1868969.0,4949.0,0.265
NEVADA,2013,2791494.0,16888.0,0.605
NEW HAMPSHIRE,2013,1322616.0,2952.0,0.223
NEW JERSEY,2013,8911502.0,25748.0,0.289
NEW MEXICO,2013,2086895.0,12990.0,0.622
NEW YORK,2013,19695680.0,77563.0,0.394
NORTH CAROLINA,2013,9848917.0,33587.0,0.341
NORTH DAKOTA,2013,723857.0,1979.0,0.273
OHIO,2013,11572005.0,33722.0,0.291
OKLAHOMA,2013,3853118.0,17187.0,0.446
OREGON,2013,3928068.0,9536.0,0.243
PENNSYLVANIA,2013,12781296.0,42825.0,0.335
RHODE ISLAND,2013,1053354.0,2710.0,0.257
SOUTH CAROLINA,2013,4771929.0,24263.0,0.508
SOUTH DAKOTA,2013,845510.0,2733.0,0.323
TENNESSEE,2013,6497269.0,38063.0,0.586
TEXAS,2013,26505637.0,108757.0,0.41
UTAH,2013,2902787.0,6644.0,0.229
VERMONT,2013,626855.0,775.0,0.124
VIRGINIA,2013,8270345.0,16355.0,0.198
WASHINGTON,2013,6973742.0,20223.0,0.29
WEST VIRGINIA,2013,1853595.0,5657.0,0.305
WISCONSIN,2013,5742953.0,16118.0,0.281
WYOMING,2013,583223.0,1212.0,0.208
ALABAMA,2014,4849377.0,20727.0,0.427
ALASKA,2014,736732.0,4684.0,0.636
ARIZONA,2014,6731484.0,26916.0,0.4
ARKANSAS,2014,2966369.0,14243.0,0.48
CALIFORNIA,2014,38802500.0,153709.0,0.396
COLORADO,2014,5355866.0,16554.0,0.309
CONNECTICUT,2014,3596677.0,8522.0,0.237
DELAWARE,2014,935614.0,4576.0,0.489
FLORIDA,2014,19893297.0,107521.0,0.54
GEORGIA,2014,10097343.0,38097.0,0.377
HAWAII,2014,1419561.0,3680.0,0.259
IDAHO,2014,1634464.0,3468.0,0.212
ILLINOIS,2014,12880580.0,47663.0,0.37
INDIANA,2014,6596855.0,24099.0,0.365
IOWA,2014,3107126.0,8497.0,0.273
KANSAS,2014,2904021.0,10123.0,0.349
KENTUCKY,2014,4413457.0,9340.0,0.212
LOUISIANA,2014,4649676.0,23934.0,0.515
MAINE,2014,1330089.0,1700.0,0.128
MARYLAND,2014,5976407.0,26661.0,0.446
MASSACHUSETTS,2014,6745408.0,26399.0,0.391
MICHIGAN,2014,9909877.0,42348.0,0.427
MINNESOTA,2014,5457173.0,12505.0,0.229
MISSISSIPPI,2014,2994079.0,8338.0,0.278
MISSOURI,2014,6063589.0,26856.0,0.443
MONTANA,2014,1023579.0,3313.0,0.324
NEBRASKA,2014,1881503.0,5275.0,0.28
NEVADA,2014,2839099.0,18045.0,0.636
NEW HAMPSHIRE,2014,1326813.0,2602.0,0.196
NEW JERSEY,2014,8938175.0,23346.0,0.261
NEW MEXICO,2014,2085572.0,12459.0,0.597
NEW YORK,2014,19746227.0,75398.0,0.382
NORTH CAROLINA,2014,9943964.0,32767.0,0.33
NORTH DAKOTA,2014,739482.0,1960.0,0.265
OHIO,2014,11594163.0,33030.0,0.285
OKLAHOMA,2014,3878051.0,15744.0,0.406
OREGON,2014,3970239.0,9224.0,0.232
PENNSYLVANIA,2014,12787209.0,40164.0,0.314
RHODE ISLAND,2014,1055173.0,2313.0,0.219
SOUTH CAROLINA,2014,4832482.0,24052.0,0.498
SOUTH DAKOTA,2014,853175.0,2786.0,0.327
TENNESSEE,2014,6549352.0,39848.0,0.608
TEXAS,2014,26956958.0,109414.0,0.406
UTAH,2014,2942902.0,6346.0,0.216
VERMONT,2014,626562.0,622.0,0.099
VIRGINIA,2014,8326289.0,16340.0,0.196
WASHINGTON,2014,7061530.0,20136.0,0.285
WEST VIRGINIA,2014,1850326.0,5588.0,0.302
WISCONSIN,2014,5757564.0,16714.0,0.29
WYOMING,2014,584153.0,1142.0,0.195
ALABAMA,2015,4858979.0,22952.0,0.472
ALASKA,2015,738432.0,5392.0,0.73
ARIZONA,2015,6828065.0,28012.0,0.41
ARKANSAS,2015,2978204.0,15526.0,0.521
CALIFORNIA,2015,39144818.0,166883.0,0.426
COLORADO,2015,5456574.0,17515.0,0.321
CONNECTICUT,2015,3590886.0,7845.0,0.218
DELAWARE,2015,945934.0,4720.0,0.499
FLORIDA,2015,20271272.0,93626.0,0.462
GEORGIA,2015,10214860.0,38643.0,0.378
HAWAII,2015,1431603.0,4201.0,0.293
IDAHO,2015,1654930.0,3568.0,0.216
ILLINOIS,2015,12859995.0,49354.0,0.384
INDIANA,2015,6619680.0,25653.0,0.388
IOWA,2015,3123899.0,8936.0,0.286
KANSAS,2015,2911641.0,11353.0,0.39
KENTUCKY,2015,4425092.0,9676.0,0.219
LOUISIANA,2015,4670724.0,25208.0,0.54
MAINE,2015,1329328.0,1729.0,0.13
MARYLAND,2015,6006401.0,27462.0,0.457
MASSACHUSETTS,2015,6794422.0,26562.0,0.391
MICHIGAN,2015,9922576.0,41231.0,0.416
MINNESOTA,2015,5489594.0,13319.0,0.243
MISSISSIPPI,2015,2992333.0,8254.0,0.276
MISSOURI,2015,6083672.0,30261.0,0.497
MONTANA,2015,1032949.0,3611.0,0.35
NEBRASKA,2015,1896190.0,5212.0,0.275
NEVADA,2015,2890845.0,20118.0,0.696
NEW HAMPSHIRE,2015,1330608.0,2652.0,0.199
NEW JERSEY,2015,8958013.0,22879.0,0.255
NEW MEXICO,2015,2085109.0,13681.0,0.656
NEW YORK,2015,,,
NORTH CAROLINA,2015,10042802.0,34852.0,0.347
NORTH DAKOTA,2015,756927.0,1812.0,0.239
OHIO,2015,11613423.0,33898.0,0.292
OKLAHOMA,2015,3911338.0,16506.0,0.422
OREGON,2015,4028977.0,10468.0,0.26
PENNSYLVANIA,2015,12802503.0,40339.0,0.315
RHODE ISLAND,2015,1056298.0,2562.0,0.243
SOUTH CAROLINA,2015,4896146.0,24700.0,0.504
SOUTH DAKOTA,2015,858469.0,3289.0,0.383
TENNESSEE,2015,6600299.0,40400.0,0.612
TEXAS,2015,27469114.0,113227.0,0.412
UTAH,2015,2995919.0,7071.0,0.236
VERMONT,2015,626042.0,739.0,0.118
VIRGINIA,2015,8382993.0,16399.0,0.196
WASHINGTON,2015,7170351.0,20394.0,0.284
WEST VIRGINIA,2015,1844128.0,6231.0,0.338
WISCONSIN,2015,5771337.0,17647.0,0.306
WYOMING,2015,586107.0,1302.0,0.222
ALABAMA,2016,4860545.0,25878.0,0.532
ALASKA,2016,741522.0,5966.0,0.805
ARIZONA,2016,6908642.0,32542.0,0.471
ARKANSAS,2016,2988231.0,16563.0,0.554
CALIFORNIA,2016,39296476.0,174796.0,0.445
COLORADO,2016,5530105.0,19030.0,0.344
CONNECTICUT,2016,3587685.0,8169.0,0.228
DELAWARE,2016,952698.0,4859.0,0.51
FLORIDA,2016,20656589.0,88700.0,0.429
GEORGIA,2016,10313620.0,40268.0,0.39
HAWAII,2016,1428683.0,3452.0,0.242
IDAHO,2016,1680026.0,3876.0,0.231
ILLINOIS,2016,12835726.0,56054.0,0.437
INDIANA,2016,6634007.0,26516.0,0.4
IOWA,2016,3130869.0,9170.0,0.293
KANSAS,2016,2907731.0,11665.0,0.401
KENTUCKY,2016,4436113.0,10452.0,0.236
LOUISIANA,2016,4686157.0,26477.0,0.565
MAINE,2016,1330232.0,1649.0,0.124
MARYLAND,2016,6024752.0,29019.0,0.482
MASSACHUSETTS,2016,6823721.0,25975.0,0.381
MICHIGAN,2016,9933445.0,45782.0,0.461
MINNESOTA,2016,5525050.0,13365.0,0.242
MISSISSIPPI,2016,2985415.0,8411.0,0.282
MISSOURI,2016,6091176.0,31720.0,0.521
MONTANA,2016,1038656.0,3886.0,0.374
NEBRASKA,2016,1907603.0,5661.0,0.297
NEVADA,2016,2939254.0,19924.0,0.678
NEW HAMPSHIRE,2016,1335015.0,2668.0,0.2
NEW JERSEY,2016,8978416.0,21861.0,0.243
NEW MEXICO,2016,2085432.0,14585.0,0.699
NEW YORK,2016,19836286.0,74315.0,0.375
NORTH CAROLINA,2016,10156689.0,37767.0,0.372
NORTH DAKOTA,2016,755548.0,1905.0,0.252
OHIO,2016,11622554.0,35759.0,0.308
OKLAHOMA,2016,3921207.0,17855.0,0.455
OREGON,2016,4085989.0,10983.0,0.269
PENNSYLVANIA,2016,12787085.0,40389.0,0.316
RHODE ISLAND,2016,1057566.0,2529.0,0.239
SOUTH CAROLINA,2016,4959822.0,25137.0,0.507
SOUTH DAKOTA,2016,861542.0,3636.0,0.422
TENNESSEE,2016,6649404.0,42459.0,0.639
TEXAS,2016,27904862.0,121064.0,0.434
UTAH,2016,3044321.0,7406.0,0.243
VERMONT,2016,623354.0,851.0,0.137
VIRGINIA,2016,8414380.0,18495.0,0.22
WASHINGTON,2016,7280934.0,22101.0,0.304
WEST VIRGINIA,2016,1828637.0,6633.0,0.363
WISCONSIN,2016,5772917.0,17716.0,0.307
WYOMING,2016,584910.0,1431.0,0.245
